licence_num,facility_name,address,address2,city,province,postal_code,phone,licensee_name,services,assess_date,action_date,action_comment
,Canadian Diagnostic Network,1108 Klondike Road,,Kanata,ON,K2K0G1,613-824-3252,Canadian Medical Licences Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2017-07-19,2018-04-17,Met standards.
,Merivale Medical Imaging Inc.,110 Michael Cowpland Drive,Unit B,Kanata,ON,K2M1P6,613-727-1072,Merivale Medical Imaging Inc. ," Mammography, General Ultrasound, Vascular Ultrasound",2022-03-10,2022-06-07,Met standards.
,Hillview Urgent Diagnostic Imaging Center,320 March Road,,Kanata,ON,K2K2E3,613-824-3252,Canadian Medical Licences Inc. ," Radiography, General Ultrasound",2022-04-11,2022-07-06,Met standards.
,Merivale Medical Imaging,110 Michael Cowpland Drive,Unit B,Kanata,ON,K2M1P6,613-727-1072,Merivale Medical Imaging Inc. , Radiography,2023-03-31,2023-05-08,Met standards.
,Canadian Diagnostic Network,150 Katimavik Road,,Kanata,ON,K2L2N2,613-824-3252,Canadian Medical Licences Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2023-07-27,2023-10-31,Met standards.
,Canadian Diagnostic Network,80 Michael Cowpland Drive,,Kanata,ON,K2M1P6,613-824-3252,Canadian Diagnostic Network South Inc. ," Radiography, General Ultrasound",2023-10-18,2023-12-11,Met standards with some recommendations made for improvement.
,Canadian Diagnostic Network,150 Katimavik Road,,Kanata,ON,K2L2N2,613-824-3252,Canadian Medical Licences Inc. , Radiography,2023-07-27,2023-10-31,Met standards.
,Canadian Diagnostic Network,150 Katimavik Road,Unit 102,Kanata,ON,K2L2N2,613-824-3252,Canadian Diagnostic Network West Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2025-02-14,2025-05-15,Met standards.
,True North Imaging,751 Victoria Street South,Suite B100,Kitchener,ON,N2M5N4,519-742-2636,Clearview Diagnostic Imaging Inc. ," Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2025-02-25,2025-05-30,Met standards.
,True North Imaging,751 Victoria Street South,Suite B100,Kitchener,ON,N2M5N4,519-742-2636,Clearview Diagnostic Imaging Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2023-05-05,2023-07-21,Met standards.
,True North Imaging,751 Victoria Street South,Suite B100,Kitchener,ON,N2M5N4,519-742-2636,Clearview Diagnostic Imaging Inc. ," Radiography, Mammography, Bone Mineral DXA",2022-06-16,2022-10-18,Met standards.
,True North Imaging,385 Fairway Road South,,Kitchener,ON,N2C2N9,519-748-6844,Clearview Diagnostic Imaging Inc. ," Radiography, General Ultrasound",2022-06-17,2022-10-14,Met standards.
,True North Imaging,751 Victoria Street South,Suite B100,Kitchener,ON,N2M5N4,519-742-2636,Clearview Diagnostic Imaging Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2022-06-16,2022-10-18,Met standards.
,ONE Fertility Kitchener Waterloo,4271 King Street East,Suite 200,Kitchener,ON,N2P2X7,519-650-0011,2489380 Ontario Inc. , Mobile General Ultrasound,2023-09-19,2024-01-22,Met standards.
,PEAK Sleep Kitchener,100 Garment Street,Unit B,Kitchener,ON,N2G0C3,905-338-3331,Sleep Clinic Kitchener Inc. , Sleep Studies,2024-12-20,2025-02-25,Met standards.
,Kitchener-Waterloo Vascular Laboratory,932 King Street West,Suite 7,Kitchener,ON,N2G1G4,519-585-1116,2050912 Ontario Inc. ," Vascular Ultrasound, General Ultrasound",2024-10-23,2024-12-05,Met standards.
,KMH  Cardiology Centres Inc.,751B Victoria Street South,Suite 108,Kitchener,ON,N2M5N4,905-855-1860,KMH Cardiology Centres Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-01-29,2025-05-08,Met standards.
,KMH MRI Inc.,751B Victoria Street South,Suite 108,Kitchener,ON,N2M5N4,905-855-1860,KMH MRI Inc. , Magnetic Resonance Imaging,2025-05-08,2025-07-24,Met standards.
,S. Peng Medicine Professional Corporation,564 Belmont Avenue West,Suite 306,Kitchener,ON,N2M5N6,519-579-0624,S. Peng Medicine Professional Corporation , Ophthalmic Ultrasound,2025-06-27,2025-10-15,Met standards with some recommendations made for improvement.
,Chryssa McAlister Medicine Professional Corporation,564 Belmont Avenue West,Suite 411,Kitchener,ON,N2M5N6,519-579-7000,Chryssa McAlister Medicine Professional Corporation , Ophthalmic Ultrasound,2025-07-07,2025-10-15,Met standards.
,Nimesh Desai Medicine Professional Corporation,4278 King Street East,Unit A,Kitchener,ON,N2P2G5,519-804-8858,Nimesh Desai Medicine Professional Corporation , Ophthalmic Ultrasound,2026-01-08,2026-04-10,A follow up assessment will be conducted.
,Mackenzie Clinic,450 Central Avenue,Suite 103,London,ON,N6E2E8,519-337-7535,Dr. Emir Ali ," Mobile Pulmonary Function - Pure Screening, Mobile Pulmonary Function Lung Volumes & Diffusion, Mobile Pulmonary Function - Other Fee Codes",2023-11-24,2024-03-04,Met standards.
,One Vascular Imaging London,460 Springbank Drive,Suite 311,London,ON,N6J1G8,519-913-2910,One Vascular Corp. ," Vascular Ultrasound, General Ultrasound",2022-09-12,2022-10-28,Met standards.
,WELL Health Diagnostic Centres,510 Southdale Road East,Suite 103,London,ON,N6E0B2,226-663-2933,MyHealth Partners Inc. ," General Ultrasound, Vascular Ultrasound",2022-04-07,2022-06-07,Met standards.
,London X-Ray Associates,595 Bradley Avenue,,London,ON,N6E3Z8,519-672-5270,London X-Ray Associates Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2022-06-23,2022-10-11,Met standards.
,PEAK Sleep London,931 Commissioners Road East,Suite 200,London,ON,N5Z3H9,905-338-3331,2598407 Ontario Inc. , Sleep Studies,2021-07-07,2021-07-07,Facility has not been assessed during current ownership.
,London X-Ray Associates,450 Central Avenue,Suite 104,London,ON,N6B2E8,519-672-5270,London X-Ray Associates ," Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2023-06-22,2023-09-13,Met standards.
,London X-Ray Associates Inc.,440 Boler Road,Suite 103,London,ON,N6K4L2,519-657-8246,London X-Ray Associates Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2023-06-13,2023-09-13,Met standards.
,London X-Ray Associates Inc.,1657 Dundas Street,,London,ON,N5W3C6,519-659-4158,London X-Ray Associates Inc. ," General Ultrasound, Vascular Ultrasound",2023-06-20,2023-08-11,Met standards.
,London X-Ray Associates,1657 Dundas Street,,London,ON,N5W3C6,519-659-4158,London X-Ray Associates Inc. , Radiography,2023-06-20,2023-09-13,Met standards.
,Omega Fertility Center Inc.,373 Commissioners Road West,,London,ON,N6J1Y4,519-685-5559,Omega Fertility Centre Inc. ," General Ultrasound, Obs/Gyn Ultrasound",2023-08-08,2023-11-22,Met standards.
,WELL Health Diagnostic Centres,279 Wharncliffe Road North,Suite 111,London,ON,N6H2C2,519-661-0275,MyHealth Partners Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2024-11-28,2025-03-27,Met standards.
,London X-Ray Associates,3209 Wonderland Road South,Unit B,London,ON,N6L1R4,519-438-8131,London X-Ray Associates Inc. ," Radiography, General Ultrasound",2025-05-27,2025-08-12,Met standards.
,WELL Health Diagnostic Centres,1055 Fanshawe Park Road West,Suite 301,London,ON,N6G5B4,519-439-5555,MyHealth Partners Inc. ," General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - SPECT, Nuclear Medicine - In Vivo - General, Mammography, Fluoroscopy, Radiography",2025-10-03,2026-04-10,Met standards.
,WELL Health Diagnostic Centres,510 Southdale Road East,Suite 103,London,ON,N6E0B2,226-663-2933,MyHealth Partners Inc. ," Radiography, General Ultrasound",2025-10-03,2026-04-10,Met standards.
,London Digestive Disease Institute,785 Wonderland Road South,Unit 253A,London,ON,N6K1M6,226-377-6579,Dr. Vipul Jairath , GI-Endoscopy,2025-12-01,2025-10-30,Pre-licensing inspection passed and approved for operation
,DMS X-Ray,7155 Woodbine Avenue,Suite B104,Markham,ON,L3R1A3,416-748-8434,1030917 Ontario Inc. ," Bone Mineral DXA, Radiography",2015-07-28,2015-10-09,Met standards.
,Unionville Diagnostic Imaging,10 Unionville Gate,Suite 204,Markham,ON,L3R0W7,905-479-3945,Specialty Medical Partners (HVI) Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2019-11-15,2020-02-25,Met standards.
,Ontario Imaging Diagnostics (OID) - Markham,6633 Highway 7 East,Suite 005,Markham,ON,L3P7P2,905-294-4880,9113371 Canada Inc. ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2023-03-03,2023-05-05,Met standards.
,Dr. Alan L. MacDonald,262B Main Street North,,Markham,ON,L3P1Y7,905-294-1331,Dr. Alan L. MacDonald , Ophthalmic Ultrasound,2023-04-16,2023-05-05,Met standards.
,Cachet X-Ray and Ultrasound,9255 Woodbine Avenue,Unit 2,Markham,ON,L6C1Y9,905-887-3831,Sylvan Brook Holdings Ltd. ," Radiography, General Ultrasound",2023-05-05,2023-07-21,Met standards.
,Markham Imaging Consultants,110 Copper Creek Drive,Suite 202,Markham,ON,L6B0P9,905-471-6996,1049604 Ontario Inc. ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2023-06-27,2023-10-19,Met standards.
,Markham Mammography,39 Main Street Markham North,Unit 1,Markham,ON,L3P1X3,905-472-2713,Clearview Diagnostic Imaging Inc. ," Mammography, General Ultrasound",2023-06-06,2023-07-21,Met standards.
,True North Imaging - Markham Repro,377 Church Street,Suite 305,Markham,ON,L6B1A1,905-472-4915,Clearview Diagnostic Imaging Inc. , General Ultrasound,2023-07-25,2023-10-18,Met standards.
,FirstSight Medical Imaging Centre,2900 Steeles Avenue East,Suite 223,Markham,ON,L3T4X1,905-886-8858,1000597619 Ontario Inc. , General Ultrasound,2023-11-18,2023-11-18,Facility has not been assessed during current ownership.
,Canadian Vascular Laboratory,5293 Highway 7 East,Suite 209,Markham,ON,L3P7M7,289-301-6622,2403040 Ontario Inc. , Vascular Ultrasound,2024-10-25,2025-01-07,Met standards.
,Dialysis Management Clinics Inc.,7300 Warden Avenue,Suite 103,Markham,ON,L3R9Z6,905-470-9992,Dialysis Management Clinics Inc. , Dialysis,2025-05-21,2025-10-17,Met standards.
,Dr. Jeff Martow,377 Church Street,Unit 302,Markham,ON,L6B1A1,905-472-7360,Dr. Jeffrey Martow , Ophthalmic Ultrasound,2024-07-30,2024-07-30,Facility has not been assessed during current ownership.
,Markham Diagnostic Centre,5293 Highway 7 East,Suites 7 and 8,Markham,ON,L3P7M7,905-294-6020,2360864 Ontario Inc. ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound, Mammography",2025-11-06,2026-02-02,Met standards.
,KMH MRI Inc.,50 Minthorn Boulevard,Suite 101,Markham,ON,L3T7X8,905-855-1860,KMH MRI Inc. , Magnetic Resonance Imaging,2025-11-20,2026-03-20,Met standards.
,Karma Ultrasound,"379 Church Street, 5th Floor",Markham-Stouffville Health Centre,Markham,ON,L6B0T1,519-570-3660,Ivycroft Enterprises Inc. , Obs/Gyn Ultrasound,2025-02-04,2025-05-25,Met standards.
,Midtown Women's Imaging,379 Church Street,Fifth Floor,Markham,ON,L6B0T1,905-294-4291,Ivycroft Enterprises Inc. , Obs/Gyn Ultrasound,2025-11-20,2026-04-10,Met standards.
,KMH Cardiology Centres Inc.,50 Minthorn Boulevard,Suite 101,Markham,ON,L3T7X8,905-855-1860,KMH Cardiology Centres Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2026-02-23,2026-04-10,Met standards.
,2434449Â ONTARIOÂ LIMITEDÂ -Â WoodbineÂ SteelesÂ SleepÂ Clinic,7155 Woodbine Avenue,Suite B103,Markham,ON,L3R1A3,416-628-4010,2434449 Ontario Limited , Sleep Studies,2025-10-06,2025-10-06,Facility has not been assessed during current ownership.
,WELL Health Diagnostic Centres,2300 Eglinton Avenue West,,Mississauga,ON,L5M2V8,416-572-1725,MyHealth Partners Inc. , Positron Emission Tomography,2022-03-28,2022-06-06,Met standards.
,Queensway X-Ray and Ultrasound Clinic,21 Queensway West,Suite 107,Mississauga,ON,L5B1B6,905-897-6970,Queensway X-Ray and Ultrasound Clinic Inc. ," Bone Mineral DXA, Radiography, General Ultrasound, Mammography",2022-04-08,2022-08-19,Met standards.
,Sussex Centre,50 Burnhamthorpe Road West,Suite 70,Mississauga,ON,L5B3C2,647-982-8607,Diamond Y. Tam Medicine Professional Corporation , Ophthalmic Ultrasound,2021-10-27,2021-11-01,Met standards.
,The Plastic Surgery Clinic Inc.,1421 Hurontario Street,,Mississauga,ON,L5G3H5,905-278-7077,The Plastic Surgery Clinic Inc. , Plastic Surgery,2022-05-18,2022-12-06,Met standards.
,OHC Vascular Inc.,1000 Middlegate Road,Suite 104,Mississauga,ON,L4Y1M3,905-804-2260,OHC Vascular Inc. ," Vascular Ultrasound, General Ultrasound",2022-05-24,2022-09-01,Met standards.
,Newlife Fertility Centre,4250 Sherwoodtowne Boulevard,,Mississauga,ON,L4Z2G6,905-896-7100,Newlife Diagnostics Inc. , Mobile General Ultrasound,2022-05-09,2022-10-25,Met standards.
,Tri-Hospital Sleep Laboratory West,3024 Hurontario Street,Suites 208 and 201,Mississauga,ON,L5B4M4,905-566-1010,MedSleep Inc. , Sleep Studies,2022-03-01,2022-03-01,Facility has not been assessed during current ownership.
,TTMP Diagnostics Inc.,1000 Middlegate Road,Second Floor,Mississauga,ON,L4Y1M3,905-804-7000,TTMP Diagnostics Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-09-16,2025-12-11,Met standards with some recommendations made for improvement.
,Dixie X-Ray Associates - Highpoint,3461 Dixie Road,Suite 201,Mississauga,ON,L4Y3X4,905-625-9886,Dixie X-Ray Associates Limited ," Bone Mineral DXA, Mammography, Radiography",2022-09-29,2023-01-12,Met standards.
,Dixie X-Ray Associates,3461 Dixie Road,Suite 201,Mississauga,ON,L4Y3X4,905-625-9886,Dixie X-Ray Associates Limited ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2022-09-29,2023-01-12,Met standards.
,Ontario Diagnostic Centre (ODC) - Meadowvale,7070 Saint Barbara Boulevard,Suites 72 and 74,Mississauga,ON,L5W0E6,416-231-3369,2539393 Ontario Inc. ," Radiography, General Ultrasound, Fluoroscopy",2022-11-24,2023-02-08,Met standards.
,AFG Imaging,4303 Village Centre Court,,Mississauga,ON,L4Z1S2,905-949-6999,AFG Imaging Inc. , Mobile General Ultrasound,2022-12-13,2023-03-01,Met standards.
,Ontario Diagnostic Centre (ODC) - 71 King,71 King Street West,Suite 102,Mississauga,ON,L5B4A2,905-897-1144,2203552 Ontario Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2023-04-27,2023-06-14,Met standards.
,Credit Valley Pulmonary Diagnostics,2300 Eglinton Avenue West,Suite 510,Mississauga,ON,L5M2V8,905-569-7600,Dr. Frank Ritacca Medicine Professional Corporation ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2023-03-27,2023-05-05,Met standards.
,One Vascular - Mississauga,2575 Dundas Street West,Unit 22,Mississauga,ON,L5K2M6,905-662-3174,One Vascular Corp. ," General Ultrasound, Vascular Ultrasound, Radiography, Fluoroscopy",2023-02-03,2023-04-20,Met standards.
,Malton Medical Radiology & Ultrasound,3530 Derry Road East,Unit 109,Mississauga,ON,L4T4E3,905-677-6473,318816 Ontario Ltd. ," Radiography, General Ultrasound",2023-07-06,2023-11-02,Met standards.
,Dixie X-Ray Associates - Burnhamthorpe,1420 Burnhamthorpe Road East,Suite 103,Mississauga,ON,L4X2Z9,905-624-3869,Dixie X-Ray Associates Limited ," Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound",2023-06-27,2023-09-21,Met standards.
,Ontario Diagnostic Centre (ODC) - Trillium,89 Queensway West,Unit 104,Mississauga,ON,L5B2V2,905-896-1144,2203552 Ontario Inc. , General Ultrasound,2023-05-02,2023-07-21,Met standards.
,Dixie X-Ray Associates - City Centre,3420 Hurontario Street,Suite 205,Mississauga,ON,L5B4A9,905-270-5933,Dixie X-Ray Associates Limited ," Radiography, General Ultrasound, Vascular Ultrasound",2023-09-28,2023-11-23,Met standards.
,Credit Valley X-Ray and Ultrasound,6590 Meadowvale Town Centre Circle,Unit 6,Mississauga,ON,L5N4B7,905-812-1066,Dixon Diagnostics Ltd. ," Bone Mineral DXA, Radiography, General Ultrasound",2023-09-26,2023-11-08,Met standards.
,GraceMed-McLean Clinic,343 - 50 Burnhamthorpe Road West,,Mississauga,ON,L5B3C2,905-273-4888,GraceMed GP Inc. , Plastic Surgery,2023-09-06,2023-11-27,Met standards.
,Medscan Medical Imaging,6870 Goreway Drive,Unit 101,Mississauga,ON,L4V1P1,905-673-1756,MKR Holdings Inc. ," Radiography, General Ultrasound",2023-04-26,2023-04-26,Facility has not been assessed during current ownership.
,Medscan Medical Imaging,6870 Goreway Drive,Unit 101,Mississauga,ON,L4V1P1,905-673-1756,MKR Holdings Inc. , Fluoroscopy,2025-12-12,2026-04-10,Met standards.
,Ontario Diagnostic Centre (ODC) - Clarkson,1654 Lakeshore Road West,,Mississauga,ON,L5J1J3,905-822-9671,2538427 Ontario Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2023-11-09,2024-03-06,Met standards.
,Credit Valley Diagnostic Centre Inc.,2000 Credit Valley Road,Suite 103,Mississauga,ON,L5M4N4,905-828-2066,Credit Valley Diagnostic Centre Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2024-12-13,2024-02-26,Met standards.
,Mississauga Vascular Lab and Ultrasound Imaging,755 Queensway East,Suite 208,Mississauga,ON,L4Y4C5,905-949-4488,1543730 Ontario Inc. ," General Ultrasound, Vascular Ultrasound",2023-12-07,2024-01-31,Met standards.
,Mississauga Radiology,1525 Bristol Road West,Unit 10,Mississauga,ON,L5M4Z1,905-286-9155,1001016462 Ontario Limited ," Radiography, General Ultrasound, Vascular Ultrasound",2024-02-29,2024-04-05,Met standards.
,Ontario Diagnostic Centre (ODC) - Credit Valley,5055 Plantation Place,Suite 2,Mississauga,ON,L5M6J3,905-279-1144,2539393 Ontario Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2024-10-16,2025-01-22,Met standards.
,Ontario Diagnostic Centre (ODC) - Square One,3950 Grand Park Drive,Unit F3A,Mississauga,ON,L5B4M6,905-896-2900,2539393 Ontario Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2024-10-15,2025-01-28,Met standards.
,Credit Valley Diagnostic Centre,78 - 3465 Platinum Drive,,Mississauga,ON,L5M2S1,905-828-7767,Dixon Diagnostics Ltd. , Radiography,2024-11-05,2025-01-08,Met standards.
,KMH Cardiology Centres Inc.,2075 Hadwen Road,,Mississauga,ON,L5K2L3,905-855-1860,KMH Cardiology Centres Inc. ," Vascular Ultrasound, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-09-23,2025-11-20,Met standards.
,True North Imaging,2180 Meadowvale Boulevard,,Mississauga,ON,L5N5S3,905-286-1049,Clearview Diagnostic Imaging Inc. , General Ultrasound,2025-02-25,2025-05-06,Met standards.
,"Apple-Med X-Ray, Ultrasound and Mammography",1077 North Service Road,Suite 208A,Mississauga,ON,L4Y1A6,905-566-1548,Precision Diagnostics Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2025-03-17,2025-05-26,Met standards.
,GNMI MRI & CT,10 Kingsbridge Garden Circle,Suite 100,Mississauga,ON,L5R3K6,905-426-8976,2659428 Ontario Inc. ," Computed Tomography, Magnetic Resonance Imaging",2025-06-11,2025-08-01,Met standards.
,GNMI MRI & CT,10 Kingsbridge Garden Circle,Suite 100,Mississauga,ON,L5R3K6,905-568-3768,2659428 Ontario Inc. , Radiography,2025-06-11,2025-08-01,Met standards.
,GNMI MRI & CT,10 Kingsbridge Garden Circle,Suite 100,Mississauga,ON,L5R3K6,905-568-3768,2659428 Ontario Inc. ," General Ultrasound, Fluoroscopy",2025-06-11,2025-08-01,Met standards.
,KMH Cardiology Centres Inc.,2075 Hadwen Road,,Mississauga,ON,L5K2L3,905-855-1860,KMH Cardiology Centres Inc. , Positron Emission Tomography,2025-09-23,2025-11-07,Met standards.
,One Heart Care,1000 Middlegate Road,Second Floor,Mississauga,ON,L4Y1M3,905-804-7000,TTMP Diagnostics Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-09-16,2025-12-11,Met standards with some recommendations made for improvement.
,Physicians Diagnostic X-Ray & Ultrasound Services,660 Eglinton Avenue West,Unit 5C,Mississauga,ON,L5R3V2,905-206-1300,2582124 Ontario Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2025-07-02,2025-11-06,Met standards.
,Peak Sleep Mississauga,101 Queensway West,Unit 202,Mississauga,ON,L5B2P7,905-338-3331,Mississauga Sleep Medicine Centre Inc. , Sleep Studies,2025-08-12,2025-10-28,Met standards.
,WELL Health Diagnostic Centres,2300 Eglinton Avenue West,Suites G01 and G02,Mississauga,ON,L5M2V8,905-828-0653,MyHealth Partners Inc. ," Mammography, Radiography, General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-11-11,2026-02-17,Met standards.
,Canadian Place Endoscopy Clinic,1065 Canadian Place,Unit 122-123,Mississauga,ON,L4W0C2,416-626-2100,Mina Endo&Mind Inc. , GI-Endoscopy,2025-10-31,2025-10-31,Pre-licensing inspection passed and approved for operation
,West GTA Endoscopy Clinic,3545 Odyssey Drive,Unit 18,Mississauga,ON,L5M2S4,905-823-0223,West GTA Endoscopy Inc. , GI-Endoscopy,2025-11-28,2025-10-31,Pre-licensing inspection passed and approved for operation
,MetroWest Pulmonary Diagnostic Inc.,89 Queensway West,Suite 214,Mississauga,ON,L5B2V2,905-848-6079,MetroWest Pulmonary Diagnostic Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function C - Escalated Testing",2024-03-19,2024-03-19,Facility has not been assessed during current ownership.
,Ontario Diagnostic Centres (ODC) - Mississauga,801 Dundas Street East,,Mississauga,ON,L4Y4G9,905-820-3030,8831335 Canada Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2025-04-02,2025-04-02,Facility has not been assessed during current ownership.
,Canadian Diagnostic Network Inc.,2 Gurdwara Road,6th Floor,Nepean,ON,K2E1A2,613-824-3252,Canadian Diagnostic Network East Inc. ," Radiography, General Ultrasound, Vascular Ultrasound",2015-03-25,2015-06-17,Met standards.
,Merivale Medical Imaging,1370 Clyde Avenue,,Nepean,ON,K2G3H8,613-727-1072,Merivale Medical Imaging Inc. ," Bone Mineral DXA, Radiography",2022-05-06,2022-07-28,Met standards.
,Merivale Medical Imaging,1370 Clyde Avenue,,Nepean,ON,K2G3H8,613-727-1072,Merivale Medical Imaging Inc. ," Mammography, General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - SPECT, Nuclear Medicine - In Vivo - General",2022-05-06,2022-09-14,Met standards.
,Women's Ultrasound Centre,152 Cleopatra Drive,Suite 105 and 116,Nepean,ON,K2G5X2,613-224-1166,MR Imaging Corp , Obs/Gyn Ultrasound,2022-05-30,2022-08-19,Met standards.
,Canadian Diagnostic Network Inc.,2 Gurdwara Road,Suite 602,Nepean,ON,K2E1A2,613-714-9855,Canadian Diagnostic Network Inc. ," Radiography, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-05-01,2023-07-19,Met standards.
,Bio-Test Radiology Services,2006 Robertson Road,Unit 16,Nepean,ON,K2H1A5,613-789-4242,Bio-Test Laboratory Inc. ," Radiography, General Ultrasound",2023-06-02,2023-08-29,Met standards.
,Canadian Medical Licences Inc.,1221 Greenbank Road,,Nepean,ON,K2J5V7,613-824-3252,Canadian Medical Licences Inc. ," Radiography, General Ultrasound",2023-07-28,2023-10-31,Met standards.
,Canadian Diagnostic Network Inc.,605 Longfields Drive,,Nepean,ON,K2J5N2,613-824-3252,Can Med Equipment Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2023-10-19,2024-01-30,Met standards.
,Canadian Diagnostic Network,1 Centrepointe Drive,Suite 106,Nepean,ON,K2G6E2,613-824-3252,Canadian Diagnostic Network South Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2025-02-14,2025-07-10,Met standards.
,WELL Health Diagnostic Centres,17730 Leslie Street,Suite 106,Newmarket,ON,L3Y3E4,905-836-2626,MyHealth Partners Inc. ," Mammography, Radiography, General Ultrasound, Vascular Ultrasound, Nuclear Medicine - In Vivo - SPECT, Nuclear Medicine - In Vivo - General, Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2020-12-16,2021-04-21,Met standards.
,Medical Eye Consultants,16945 Leslie Street,Unit 44,Newmarket,ON,L3Y9A2,905-235-8055,Asif Salyani Medicine Professional Corporation , Ophthalmic Ultrasound,2022-05-07,2022-08-22,Met standards.
,York County Sleep Disorders Centre,28 Main Street North,,Newmarket,ON,L3Y3Z7,905-895-3487,Linde Canada Inc. , Sleep Studies,2022-02-11,2022-07-22,Met standards.
,X-Ray Associates,679 Davis Drive,Suite 104,Newmarket,ON,L3Y5G8,416-895-1313,X-Ray Associates Inc. ," Radiography, General Ultrasound",2022-06-21,2022-09-01,Met standards.
,Dr. Eugene S. Liu Medicine Professional Corporation,23 Bolton Avenue,,Newmarket,ON,L3Y2X3,905-895-8738,Eugene S. Liu Medicine Professional Corporation , Ophthalmic Ultrasound,2023-01-14,2023-04-14,Met standards.
,Canadian Vascular Laboratories,535 Mulock Drive,Suite 300,Newmarket,ON,L3Y5H2,905-953-9044,CVL NEWMARKET INC. ," General Ultrasound, Vascular Ultrasound",2025-01-30,2025-05-07,Met standards.
,Bayview Diagnostic Imaging,535 Mulock Drive,Suite 300,Newmarket,ON,L3Y5H2,905-953-9044,CVL NEWMARKET INC. , Radiography,2025-01-30,2025-05-07,Met standards.
,Toronto West Cardiac & Radiology Institute,4250 Weston Road,Suite 100,North York,ON,M9L1W9,416-820-3143,Toronto West Cardiac and Radiology Institute Ltd. ," Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound",2011-08-12,2011-09-16,Met standards.
,Keelson X-Ray & Ultrasound,1020 Wilson Avenue,,North York,ON,M3K1G6,416-221-2644,Sylvan Brook Holdings Ltd. ," Bone Mineral DXA, Radiography, General Ultrasound",2014-11-25,2015-02-06,Met standards.
,Metro Radiology (Wilson),1275 Finch Avenue West,Unit 114,North York,ON,M3J0L5,416-781-2050,2456462 Ontario Limited ," Bone Mineral DXA, Fluoroscopy, Radiography, General Ultrasound",2021-03-05,2021-04-30,Met standards.
,Universal Pulmonary Function Laboratory,2888 Bathurst Street,2nd Floor,North York,ON,M6B4H6,416-256-0600,1739411 Ontario Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2021-04-09,2021-05-21,Met standards.
,Keele & Lawrence Ultrasound,2355 Keele Street,Unit D-1,North York,ON,M6M4A2,416-243-8487,1600379 Ontario Inc. , General Ultrasound,2020-03-14,2020-09-14,Met standards.
