Permit Number,Permit Application Type,Date Issued,Building Use,Work Class,Cost of Construction,Number of Units,Number of Stories,Stats Can # of Units Lost,Location,LocType,Subdivision Code,Name,Contact Type Description,Construction Type
PRFR202501240,Foundation Repair,2025-05-20 00:00:00,Residential,Alteration and improvements,67000,0,0,,"3028 LACON STREET, REGINA, SK S4N2A8",Address,Douglas Place,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRPO202501016,Pool,2025-05-20 00:00:00,Residential,Swimming pool,118000,0,0,,"3535 MCCOURT BAY, REGINA, SK S4V2A4",Address,Varsity Park,ELLIS POOLS & CONST. LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202500301,Renovation/Alteration,2025-05-20 00:00:00,Residential,Alteration and improvements,20000,0,0,,"33 PARKWOOD ROAD, REGINA, SK S4S2Z8",Address,Albert Park,INCEPTION CONTRACTING LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202500886,Renovation/Alteration,2025-05-20 00:00:00,Residential,Alteration and improvements,20700,0,0,,"22 NOONAN ROAD, REGINA, SK S4V0J6",Address,University Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202500904,Renovation/Alteration,2025-05-20 00:00:00,Commercial,Alteration and improvements,210000,,,,"3769 WASCANA PARKWAY, REGINA, SK S4S0A2",Address,Wascana Park,THE UNIVERSITY OF REGINA,Property Owner,626-University
PRRN202501133,Renovation/Alteration,2025-05-20 00:00:00,Commercial,Alteration and improvements,90000,,,,"2055 PRINCE OF WALES DRIVE, REGINA, SK S4V3A3",Address,Eastgate,LOBLAW PROPERTIES WEST INC.,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRRN202501142,Renovation/Alteration,2025-05-20 00:00:00,Residential,Alteration and improvements,500,0,0,,"4349 CHUKA DRIVE, REGINA, SK S4V3L5",Address,The Creeks,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501153,Renovation/Alteration,2025-05-20 00:00:00,Residential,Alteration and improvements,14000,0,0,,"63 BROOK BAY, REGINA, SK S4N1M7",Address,Glencairn,TRIPLE R CONCRETE CUTTING,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501035,Single/Semi-Detached Dwelling 1-2 units,2025-05-20 00:00:00,Residential,New construction,157300,1,2,,3080 DUMONT WAY,Address,The Towns,ROHIT COMMUNITIES INC.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501061,Single/Semi-Detached Dwelling 1-2 units,2025-05-20 00:00:00,Residential,New construction,157300,1,2,,3044 DUMONT WAY,Address,The Towns,CITY OF REGINA,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202500963,Secondary Suite,2025-05-20 00:00:00,Residential,Alteration and improvements,70000,1,0,,"2356 BETTERIDGE DRIVE, REGINA, SK S4X0N7",Address,Kensington Greens,AFE VENTURES CORPORATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501024,Secondary Suite,2025-05-20 00:00:00,Residential,Alteration and improvements,30000,1,0,,"5053 AERIAL CRESCENT, REGINA, SK S4W0C8",Address,Harbour Landing,HAVILAH HOLDINGS LTD.,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRBS202501222,Basement Development,2025-05-21 00:00:00,Residential,Alteration and improvements,35000,0,0,,"5428 E GREEN BLUEBELL ROAD, REGINA, SK S4V3M5",Address,The Greens on Gardiner,REDACTED,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRDE202501175,Demolition,2025-05-21 00:00:00,Residential,Demolition,7500,,,1,"1400 E 12TH AVENUE, Unit:23 ROW E, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501179,Demolition,2025-05-21 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:11 ROW E, REGINA, SK S4N0M6",Address,Glencairn,REDACTED,Property Owner,130-Mobile Home
PRDE202501180,Demolition,2025-05-21 00:00:00,Residential,Demolition,7500,,,1,"1400 E 12TH AVENUE, Unit:19 ROW D, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501181,Demolition,2025-05-21 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:43 ROW D, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501182,Demolition,2025-05-21 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:48 ROW D, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501183,Demolition,2025-05-21 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:40 ROW D, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501184,Demolition,2025-05-21 00:00:00,Residential,Demolition,400000,0,0,1,"2165 MCDONALD STREET, REGINA, SK S4N2Y6",Address,Broders Annex,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501131,Deck/Sunroom,2025-05-21 00:00:00,Residential,Alteration and improvements,6959.29,0,0,,"1223 N BROAD STREET, REGINA, SK S4R6V8",Address,Uplands,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501223,Garage/Carport,2025-05-21 00:00:00,Residential,Garage/Carport/Accessory Structure,20000,0,0,,"2220 ELPHINSTONE STREET, REGINA, SK S4T3N8",Address,Old 33,REILLYS CONSTRUCTION LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRMU202500066,Multi-Unit Dwelling 3+ Units,2025-05-21 00:00:00,Residential,New construction,472780,3,2,,"2961 WELBY WAY, REGINA, SK S4V4A2 | 2965 WELBY WAY, REGINA, SK S4V4A2 | 2969 WELBY WAY, REGINA, SK S4V4A2",Address,The Towns,ROHIT COMMUNITIES INC.,Contractor,"330-Row House, garden home, town house, carriage home, quadrex"
PRPO202501161,Pool,2025-05-21 00:00:00,Residential,Swimming pool,1000,0,0,,"104 TREMAINE AVENUE, REGINA, SK S4R6S4",Address,Walsh Acres,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202500584,Renovation/Alteration,2025-05-21 00:00:00,Residential,Alteration and improvements,20000,0,0,,"2802 E STAPLES BAY, REGINA, SK S4V1W7",Address,Wood Meadows,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202500024,Single/Semi-Detached Dwelling 1-2 units,2025-05-21 00:00:00,Residential,New construction,320100,2,2,,"2953 WELBY WAY, REGINA, SK S4V4A2 | 2957 WELBY WAY, REGINA, SK S4V4A2",Address,The Towns,ROHIT COMMUNITIES,Contractor,"210-Semi-Detached or Double House, single attached home"
PRSF202501027,Single/Semi-Detached Dwelling 1-2 units,2025-05-21 00:00:00,Residential,New construction,250000,1,2,,"3177 GREEN STONE ROAD, REGINA, SK S4V3R8",Address,The Towns,CITY OF REGINA,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501067,Single/Semi-Detached Dwelling 1-2 units,2025-05-21 00:00:00,Residential,New construction,580400,1,2,,"5301 E NICHOLSON AVENUE, REGINA, SK S4V4B3",Address,The Towns,DREAM TOWNS LANDS SOUTH (GP) INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501147,Single/Semi-Detached Dwelling 1-2 units,2025-05-21 00:00:00,Residential,New construction,157300,1,2,,3092 DUMONT WAY,Address,The Towns,CITY OF REGINA,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501148,Single/Semi-Detached Dwelling 1-2 units,2025-05-21 00:00:00,Residential,New construction,157300,1,2,,3090 DUMONT WAY,Address,The Towns,CITY OF REGINA,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202500726,Secondary Suite,2025-05-21 00:00:00,Residential,Alteration and improvements,40000,1,0,,"115 VERNON CRESCENT, REGINA, SK S4R7S8",Address,Argyle Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202500833,Basement Development,2025-05-22 00:00:00,Residential,Alteration and improvements,10000,0,0,,"3315 GREEN SANDCHERRY STREET, REGINA, SK S4V3M2",Address,The Greens on Gardiner,REDACTED,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRBS202501257,Basement Development,2025-05-22 00:00:00,Residential,Alteration and improvements,22000,0,0,,"3253 GREEN STONE ROAD, REGINA, SK S4V3R4",Address,The Towns,REDACTED,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRDE202500974,Demolition,2025-05-22 00:00:00,Residential,Demolition,500,0,0,,"4633 7TH AVENUE, REGINA, SK S4T0R4",Address,Belvedere,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501166,Deck/Sunroom,2025-05-22 00:00:00,Residential,Addition to existing building commercial & residential,2000,0,0,,"75 ROTHWELL CRESCENT, REGINA, SK S4N1R5",Address,Rothwell Place,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501188,Deck/Sunroom,2025-05-22 00:00:00,Residential,New,2000,0,0,,"4044 DELHAYE WAY, REGINA, SK S4W0N3",Address,Harbour Landing,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501192,Deck/Sunroom,2025-05-22 00:00:00,Residential,Alteration and improvements,7000,0,0,,"3332 FAVEL DRIVE, REGINA, SK S4V4A9",Address,The Towns,LUCKY LINKS BUILDING SERVICES LTD. - LUCKY ALUGE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501193,Deck/Sunroom,2025-05-22 00:00:00,Residential,Alteration and improvements,4000,0,0,,"4720 E BUCKINGHAM DRIVE, REGINA, SK S4V3X8",Address,The Towns,LUCKY LINKS BUILDING SERVICES LTD. - LUCKY ALUGE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501205,Deck/Sunroom,2025-05-22 00:00:00,Residential,Alteration and improvements,8000,0,0,,"4661 E MUTRIE CRESCENT, REGINA, SK S4V3Y3",Address,The Towns,HONG YARD SOLUTIONS,Contractor,"210-Semi-Detached or Double House, single attached home"
PRFR202501194,Foundation Repair,2025-05-22 00:00:00,Residential,Alteration and improvements,65000,0,0,,"620 E INVER CRESCENT, REGINA, SK S4N2K6",Address,Douglas Place,RAMJACK SASKATCHEWAN,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501226,Foundation Repair,2025-05-22 00:00:00,Residential,Alteration and improvements,8600,0,0,,"1757 OTTAWA STREET, REGINA, SK S4P1P3",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRPO202501168,Pool,2025-05-22 00:00:00,Residential,Swimming pool,5000,0,0,,"218 ROGERS ROAD, REGINA, SK S4S7C4",Address,Albert Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202500347,Renovation/Alteration,2025-05-22 00:00:00,Commercial,Other,45000,0,0,,"1827 ALBERT STREET, REGINA, SK S4P2S9",Address,Old 33,ANDERSON BUILDERS GROUP 1989 INC,Contractor,"650-Day care, nursing home, rest home, home for the blind, charitable home, detoxification center"
PRRN202501023,Renovation/Alteration,2025-05-22 00:00:00,Residential,Alteration and improvements,50000,0,0,,"5012 QUEEN STREET, REGINA, SK S4S6Z9",Address,Albert Park,COLLABORATIVE CONSTRUCTION,Contractor,"310-Apartment, apartment building, duplex, triplex, quadruple"
PRRN202501210,Renovation/Alteration,2025-05-22 00:00:00,Residential,Alteration and improvements,3716,0,0,,"2843 KUTARNA CRESCENT, REGINA, SK S4V0S9",Address,Wood Meadows,PRAIRIE BOYS SPRAY FOAM - CODY GLIDDON,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202500359,Single/Semi-Detached Dwelling 1-2 units,2025-05-22 00:00:00,Residential,New construction,313170,2,2,,"2933 WELBY WAY, REGINA, SK S4V4A2 | 2937 WELBY WAY, REGINA, SK S4V4A2",Address,The Towns,ROHIT COMMUNITIES INC.,Contractor,"210-Semi-Detached or Double House, single attached home"
PRSF202500992,Single/Semi-Detached Dwelling 1-2 units,2025-05-22 00:00:00,Residential,New construction,250000,2,2,,"2122 MCARA STREET, REGINA, SK S4N2V8",Address,Broders Annex,TURK CONSTRUCTION - MATT,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501195,Single/Semi-Detached Dwelling 1-2 units,2025-05-22 00:00:00,Residential,New construction,250000,2,2,,"5509 WATERER ROAD, REGINA, SK S4W0N2",Address,Harbour Landing,CRAWFORD HOMES (1991) LTD.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501038,Secondary Suite,2025-05-22 00:00:00,Residential,Addition to existing building commercial & residential,40000,1,0,,"5513 E NICHOLSON AVENUE, REGINA, SK S4V4B1",Address,The Towns,FIRST CALL CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501077,Secondary Suite,2025-05-22 00:00:00,Residential,Addition to existing building commercial & residential,30000,1,0,,"2729 ABBOTT ROAD, REGINA, SK S4N2J7",Address,Assiniboia East,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501132,Secondary Suite,2025-05-22 00:00:00,Residential,Other,40000,1,0,,"3364 FAVEL DRIVE, REGINA, SK S4V4A9",Address,The Towns,FIRST CALL CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501255,Deck/Sunroom,2025-05-23 00:00:00,Residential,Alteration and improvements,8000,0,0,,"3017 BELLEGARDE CRESCENT, REGINA, SK S4V3W3",Address,The Towns,LUCKY LINKS BUILDING SERVICES LTD. - LUCKY ALUGE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501256,Deck/Sunroom,2025-05-23 00:00:00,Residential,Alteration and improvements,3065,0,0,,"835 N HAYWORTH CRESCENT, REGINA, SK S4X1X8",Address,Sherwood Estates,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202500908,Foundation Repair,2025-05-23 00:00:00,Residential,Alteration and improvements,29000,0,0,,"4212 CASTLE ROAD, Unit:M, REGINA, SK S4S4W1",Address,Whitmore Park,RSR CONSTRUCTION - ADRIAN KASICK,Contractor,335-Row House - Condominium
PRFR202500910,Foundation Repair,2025-05-23 00:00:00,Residential,Alteration and improvements,9000,0,0,,"4212 CASTLE ROAD, Unit:I, REGINA, SK S4S4W1",Address,Whitmore Park,RSR CONSTRUCTION - ADRIAN KASICK,Contractor,335-Row House - Condominium
PRMH202501307,Plumbing,2025-05-23 00:00:00,Residential,Mechanical,5820.84,0,0,,"2512 WASCANA STREET, REGINA, SK S4S0L6",Address,River Heights,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRPO202500997,Pool,2025-05-23 00:00:00,Residential,Swimming pool,110000,0,0,,"4412 WILD ROSE DRIVE, REGINA, SK S4V3V6",Address,The Creeks,ELLIS POOLS & CONST. LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501209,Renovation/Alteration,2025-05-23 00:00:00,Residential,Alteration and improvements,8000,0,0,,"1033 EDGAR STREET, Unit:30, REGINA, SK S4N3J5",Address,Eastern Annex,REDACTED,Property Owner,335-Row House - Condominium
PRRN202501235,Renovation/Alteration,2025-05-23 00:00:00,Residential,Alteration and improvements,6000,0,0,,"332 HABKIRK DRIVE, REGINA, SK S4S6A8",Address,Albert Park,SDM RENOS & SERVICES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501100,Secondary Suite,2025-05-23 00:00:00,Residential,Addition to existing building commercial & residential,40000,1,0,,"2949 BELLEGARDE CRESCENT, REGINA, SK S4V3X7",Address,The Towns,CRAWFORD HOMES (EBUILD),Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202501252,Basement Development,2025-05-26 00:00:00,Residential,Alteration and improvements,20000,0,0,,"2344 MACKAY STREET, REGINA, SK S4N2T1",Address,Broders Annex,BOUSS CONSTRUCTION INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202501258,Basement Development,2025-05-26 00:00:00,Residential,Alteration and improvements,35000,0,0,,"225 FOXTAIL STREET, REGINA, SK S4Y0B1",Address,Fairways West,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501215,Deck/Sunroom,2025-05-26 00:00:00,Residential,New,4293.69,0,0,,"4748 E BUCKINGHAM DRIVE, REGINA, SK S4V3X8",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501232,Deck/Sunroom,2025-05-26 00:00:00,Residential,Addition to existing building commercial & residential,7000,0,0,,"4725 E KAUFMAN AVENUE, REGINA, SK S4V3Y4",Address,The Towns,PIVOT CONSTRUCTION,Contractor,"210-Semi-Detached or Double House, single attached home"
PRFR202500862,Foundation Repair,2025-05-26 00:00:00,Residential,Alteration and improvements,50000,0,0,,"3064 GRANT ROAD, REGINA, SK S4S5G7",Address,Whitmore Park,GCA CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRMU202500104,Multi-Unit Dwelling 3+ Units,2025-05-26 00:00:00,Residential,New construction,472780,3,2,,"2921 WELBY WAY, REGINA, SK S4V4A4 | 2925 WELBY WAY, REGINA, SK S4V4A4 | 2929 WELBY WAY, REGINA, SK S4V4A4",Address,The Towns,ROHIT COMMUNITIES INC.,Contractor,"330-Row House, garden home, town house, carriage home, quadrex"
PRRN202500813,Renovation/Alteration,2025-05-26 00:00:00,Residential,Alteration and improvements,5800,0,0,,"2730 FLEURY STREET, REGINA, SK S4N2M4",Address,Assiniboia East,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202500842,Renovation/Alteration,2025-05-26 00:00:00,Residential,Alteration and improvements,150000,0,0,,"187 PETERSMEYER STREET, REGINA, SK S4R8K9",Address,Englewood,PROSTRUCT DEVELOPMENTS INC,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501241,Renovation/Alteration,2025-05-26 00:00:00,Residential,Alteration and improvements,34481.76,0,0,,"2605 EDWARD STREET, REGINA, SK S4S0N2",Address,River Heights,OAKRIDGE REMODELING LTD,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501244,Renovation/Alteration,2025-05-26 00:00:00,Residential,Alteration and improvements,800,0,0,,"5508 CHESTER PLACE, REGINA, SK S4X4G4",Address,Lakeridge,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202501271,Renovation/Alteration,2025-05-26 00:00:00,Residential,Alteration and improvements,10000,0,0,,"3644 ANSON STREET, REGINA, SK S4S2J3",Address,Lakeview South,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSF202501037,Single/Semi-Detached Dwelling 1-2 units,2025-05-26 00:00:00,Residential,New construction,900000,2,2,,"2809 ROCHDALE BOULEVARD, REGINA, SK S4X0N1 | 2813 ROCHDALE BOULEVARD, REGINA, SK S4X0N1",Address,Hawkstone,VARSITY HOMES LTD.,Contractor,"210-Semi-Detached or Double House, single attached home"
PRSF202501081,Single/Semi-Detached Dwelling 1-2 units,2025-05-26 00:00:00,Residential,New construction,400000,1,2,,"5233 MITCHINSON WAY, REGINA, SK S4W0G8",Address,Harbour Landing,FOUR SEASONS CONSTRUCTION AND RENOVATIONS INC.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRSS202501096,Secondary Suite,2025-05-26 00:00:00,Residential,Addition to existing building commercial & residential,50000,1,0,,"4845 FERNDALE CRESCENT, REGINA, SK S4V4A3",Address,The Towns,LUCKY LINKS BUILDING SERVICES LTD. - LUCKY ALUGE,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRBS202500797,Basement Development,2025-05-27 00:00:00,Residential,Alteration and improvements,22000,0,0,,"1801 GRANT DRIVE, REGINA, SK S4S4V5",Address,Whitmore Park,OAKRIDGE REMODELING LTD,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202500147,Demolition,2025-05-27 00:00:00,Residential,Demolition,4000,,,1,"629 ROYAL STREET, REGINA, SK S4T4Z3",Address,Transcona,OLSON BUILDERS LTD.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501173,Demolition,2025-05-27 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:17 ROW B, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501217,Demolition,2025-05-27 00:00:00,Residential,Demolition,1998,0,0,0,"1625 TORONTO STREET, REGINA, SK S4P1M3",Address,Old 33,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501219,Demolition,2025-05-27 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:27 ROW C, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,115-Single House - Condominium
PRDE202501220,Demolition,2025-05-27 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:39 ROW C, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501228,Demolition,2025-05-27 00:00:00,Residential,Demolition,7500,0,0,1,"1400 E 12TH AVENUE, Unit:1 ROW B, REGINA, SK S4N0M6",Address,Glencairn,S & T PROPERTY MAINTENANCE - SEAN THOMSON,Contractor,130-Mobile Home
PRDE202501262,Demolition,2025-05-27 00:00:00,Residential,Demolition,0,0,0,0,"343 N HALIFAX STREET, REGINA, SK S4R2X1",Address,Churchill Place,SERBU SAND & GRAVEL LTD,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDE202501267,Demolition,2025-05-27 00:00:00,Residential,Demolition,0,0,0,0,"449 OTTAWA STREET, REGINA, SK S4R1N8",Address,North Annex,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501275,Deck/Sunroom,2025-05-27 00:00:00,Residential,Alteration and improvements,8000,0,0,,"3228 CROSBIE CRESCENT, REGINA, SK S4V3S4",Address,The Towns,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRDK202501311,Deck/Sunroom,2025-05-27 00:00:00,Residential,Alteration and improvements,7000,0,0,,"117 CHAMPLAIN DRIVE, REGINA, SK S4S4Z1",Address,Whitmore Park,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501253,Foundation Repair,2025-05-27 00:00:00,Residential,Alteration and improvements,3800,0,0,,"4508 ENGLAND ROAD, REGINA, SK S4R4P5",Address,Regent Park,COLOSSAL FOUNDATION REPAIR INC.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501270,Foundation Repair,2025-05-27 00:00:00,Residential,Alteration and improvements,4150,0,0,,"161 MCDOUGALL CRESCENT, REGINA, SK S4S5M6",Address,Whitmore Park,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501284,Foundation Repair,2025-05-27 00:00:00,Residential,Alteration and improvements,5400,0,0,,"3066 HARDING STREET, REGINA, SK S4V1N6",Address,Gardiner Heights,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501296,Foundation Repair,2025-05-27 00:00:00,Residential,Alteration and improvements,3470,0,0,,"240 HANLEY CRESCENT, REGINA, SK S4R5B1",Address,Normanview,AAA SOLID FOUNDATION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501308,Foundation Repair,2025-05-27 00:00:00,Residential,Alteration and improvements,5700,0,0,,"60 PRICE CRESCENT, REGINA, SK S4R6R8",Address,Walsh Acres,JS GROUP OF COMPANIES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRFR202501322,Foundation Repair,2025-05-27 00:00:00,Residential,Alteration and improvements,5000,0,0,,"2176 MCARA STREET, REGINA, SK S4N2V8",Address,Broders Annex,ISH'S CONSTRUCTION INC.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202500535,Garage/Carport,2025-05-27 00:00:00,Residential,Garage/Carport/Accessory Structure,55000,0,0,,"143 N PASQUA STREET, REGINA, SK S4R4N2",Address,Coronation Park N.,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRGA202501295,Garage/Carport,2025-05-27 00:00:00,Residential,Garage/Carport/Accessory Structure,30000,0,0,,"18 COLEMAN CRESCENT, REGINA, SK S4N5J5",Address,Glencairn Village,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202500895,Renovation/Alteration,2025-05-27 00:00:00,Residential,Alteration and improvements,150000,0,0,,"4040 4TH AVENUE, REGINA, SK S4T0H5",Address,Windsor Place,REDACTED,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at the foundation), single family dwelling"
PRRN202500955,Renovation/Alteration,2025-05-27 00:00:00,Commercial,Alteration and improvements,2000,,,,"450 N ALBERT STREET, REGINA, SK S4R3C1",Address,Coronation Park N.,NORAD ENTERPRISES LTD.,Property Owner,"512-Retail complex; plaza, mall, shopping centre, store/office building"
PRRN202500989,Renovation/Alteration,2025-05-27 00:00:00,Commercial,Alteration,20000,0,0,,"2625 29TH AVENUE, REGINA, SK S4S2N9",Address,Parliament Place,102025755 SASKATCHEWAN CORP.,Property Owner,"560-Indoor recreational building; sports complex, tennis court and squash, community center, arena, curling club, swimming pool"
